Step,Disturbance,Output
1,-1,0
2,-1,0
3,-1,0
4,-1,0
5,-2,0
6,-1,0
7,-1,0
8,-1,0
9,-2,0
10,-1,0
11,-2,0
12,-2,0
13,-3,0
14,-2,0
15,-3,0
16,-3,0
17,-3,0
18,-3,0
19,-3,0
20,-3,0
21,-3,0
22,-4,2.779893333333333
23,-3,0
24,-4,2.786453333333333
25,-3,0
26,-3,0
27,-3,0
28,-3,0
29,-2,0
30,-3,0
31,-4,2.793493333333334
32,-3,0
33,-3,0
34,-4,2.800693333333333
35,-2,0
36,-3,0
37,-3,0
38,-3,0
39,-3,0
40,-3,0
41,-2,0
42,-2,0
43,-2,0
44,-3,0
45,-3,0
46,-2,0
47,0,0
48,-1,0
49,-1,0
50,-2,0
51,-2,0
52,-3,0
53,-2,0
54,-2,0
55,-2,0
56,-2,0
57,-3,0
58,-3,0
59,-3,0
60,-3,0
61,-3,0
62,-3,0
63,-3,0
64,-3,0
65,-3,0
66,-3,0
67,-4,2.808373333333333
68,-4,2.817013333333334
69,-5,3.795298333333333
70,-5,3.809473333333333
71,-5,3.824098333333334
72,-6,4.91825
73,-5,3.853933333333334
74,-7,6.047001250000001
75,-7,6.0699525
76,-7,6.09027
77,-7,6.111716250000001
78,-9,8.587046249999998
79,-9,8.617916249999999
80,-10,10.009305
81,-11,11.01721
82,-12,90
83,-13,90
84,-13,90
85,-14,90
86,-14,90
87,-14,90
88,-13,90
89,-13,90
90,-12,90
91,-11,11.046525
92,-10,10.122925
93,-7,6.332736250000001
94,-9,8.826778749999999
95,-9,8.863712499999998
96,-11,11.22092
97,-13,90
98,-14,90
99,-15,90
100,-14,90
101,-12,90
102,-10,90
103,-9,90
104,-8,7.641220000000001
105,-7,6.466466250000001
106,-6,5.366250000000001
107,-7,6.509412500000001
108,-7,6.538383750000001
109,-8,90
110,-9,90
111,-9,90
112,-11,90
113,-9,90
114,-8,7.7645575
115,-5,4.312753333333333
116,-3,0
117,-2,0
118,-3,0
119,-3,0
120,-3,0
121,-4,3.294933333333334
122,-5,4.334758333333333
123,-6,5.48535
124,-6,5.502750000000001
125,-6,5.521650000000001
126,-7,6.68060625
127,-6,5.562750000000001
128,-7,6.720273750000001
129,-7,6.741343750000001
130,-8,7.991797500000001
131,-6,5.647150000000001
132,-8,8.039982500000001
133,-7,6.836212500000001
134,-8,8.088685000000002
135,-8,8.114905
136,-8,8.147105000000002
