Step,Disturbance,Output
1,-1,-1.666666666666667
2,-1,-1.666666666666667
3,-2,-7.5
4,-1,-1.666666666666667
5,-2,-7.5
6,-3,-10.0
7,-3,-5.0
8,-3,-5.0
9,-4,-20.0
10,-4,-20.0
11,-5,-31.25
12,-6,-50.0
13,-7,-50.0
14,-7,-50.0
15,-9,90
16,-13,90
17,-14,90
18,-12,90
19,-13,90
20,-14,-50.0
21,-9,-20.0
22,-8,-40.0
23,-4,-10.0
24,-4,-20.0
25,-6,-50.0
26,-7,-50.0
27,-10,90
28,-10,90
29,-12,90
30,-12,90
31,-9,-50.0
32,-5,-15.0
33,-3,-5.0
34,-3,-5.0
35,-3,-5.0
36,-2,-3.333333333333333
37,-3,-10.0
38,-3,-5.0
39,-2,-3.333333333333333
40,-3,-10.0
41,-3,-5.0
42,-3,-5.0
43,-3,-5.0
44,-2,-3.333333333333333
45,-3,-10.0
46,-5,-31.25
47,-5,-35.0
48,-6,-50.0
49,-9,90
50,-10,90
51,-11,90
52,-11,90
53,-9,90
54,-8,-50.0
55,-7,-40.0
56,-5,-23.75
57,-7,-50.0
58,-8,-50.0
59,-9,-50.0
60,-12,90
61,-13,90
62,-13,90
63,-13,90
64,-14,90
65,-13,90
66,-14,90
67,-11,-50.0
68,-8,-20.0
69,-6,-30.0
70,-7,-50.0
71,-9,-50.0
72,-13,90
73,-13,90
74,-14,90
75,-14,90
76,-14,90
77,-13,90
78,-13,90
79,-13,90
80,-10,-50.0
81,-9,-40.0
82,-6,-20.0
83,-5,-31.25
84,-9,90
85,-9,90
86,-11,90
87,-10,90
88,-6,-50.0
89,-3,-5.0
90,-1,-1.666666666666667
91,-1,-1.666666666666667
92,-2,-7.5
93,-2,-3.333333333333333
94,-3,-10.0
95,-4,-20.0
96,-5,-31.25
97,-7,-50.0
98,-9,-50.0
99,-11,90
100,-13,90
101,-14,90
102,-13,90
103,-14,90
104,-9,-50.0
105,-4,-10.0
106,-3,-5.0
107,-6,-50.0
108,-6,-50.0
109,-6,-50.0
110,-8,-50.0
111,-10,-50.0
112,-13,90
113,-14,90
114,-16,90
115,-15,90
116,-11,-50.0
117,-7,-20.0
118,-5,-23.75
119,-4,-20.0
120,-5,-31.25
121,-6,-50.0
122,-7,-50.0
123,-8,-50.0
124,-11,-50.0
125,-12,90
126,-13,90
127,-12,90
128,-12,90
129,-11,90
130,-6,-20.0
131,-4,-20.0
132,-4,-20.0
133,-3,-5.0
134,-4,-20.0
135,-2,-3.333333333333333
136,-2,-3.333333333333333
137,-2,-3.333333333333333
138,-2,-3.333333333333333
139,0,0.0
140,-1,-6.249999999999999
141,0,0.0
142,0,0.0
143,0,0.0
144,0,0.0
145,1,1.666666666666667
146,0,0.0
147,-1,-6.249999999999999
148,-1,-1.666666666666667
149,-1,-1.666666666666667
150,-2,-7.5
151,-2,-3.333333333333333
152,-3,-10.0
153,-2,-3.333333333333333
154,-2,-3.333333333333333
155,-2,-3.333333333333333
156,-1,-1.666666666666667
157,0,0.0
158,-1,-6.249999999999999
159,0,0.0
160,1,1.666666666666667
161,3,5.0
162,4,20.0
163,6,30.0
164,9,-90
165,9,-90
166,9,-90
167,9,-90
168,9,-90
169,8,-90
170,8,-90
171,6,50.0
172,3,20.0
173,1,6.249999999999999
174,4,10.0
175,5,31.25
176,8,-90
177,9,-90
178,9,-90
179,9,-90
180,10,-90
181,10,-90
182,7,30.0
183,5,31.25
184,5,35.0
185,8,20.0
186,10,-90
187,11,-90
188,11,-90
189,10,-90
190,11,-90
191,9,-90
192,7,50.0
193,3,20.0
194,1,6.249999999999999
195,1,1.666666666666667
196,2,3.333333333333333
197,3,5.0
198,3,5.0
199,3,5.0
200,4,20.0
201,5,31.25
202,5,35.0
203,5,35.0
204,7,-90
205,7,-90
206,8,-90
207,8,-90
208,4,20.0
209,-2,-13.33333333333333
210,-3,-10.0
211,-2,-3.333333333333333
212,-2,-3.333333333333333
213,-1,-1.666666666666667
214,-1,-1.666666666666667
215,-1,-1.666666666666667
216,-1,-1.666666666666667
217,-1,-1.666666666666667
218,0,0.0
219,0,0.0
220,0,0.0
221,1,1.666666666666667
222,0,0.0
223,0,0.0
224,1,1.666666666666667
225,1,1.666666666666667
226,1,1.666666666666667
227,2,3.333333333333333
228,4,20.0
229,6,30.0
230,6,-90
231,7,-90
232,8,-90
233,8,-90
234,9,-90
235,9,-90
236,10,-90
237,10,-90
238,9,-90
239,9,-90
240,9,-90
241,10,-90
242,9,-90
243,9,-90
244,7,-90
245,7,40.0
246,4,30.0
247,2,11.25
248,2,3.333333333333333
249,2,3.333333333333333
250,1,6.249999999999999
251,1,1.666666666666667
252,2,3.333333333333333
253,2,3.333333333333333
254,1,6.249999999999999
255,0,0.0
256,-1,-6.249999999999999
257,-3,90
