Step,Disturbance,Output
1,-3,0
2,-4,3.857561290322581
3,-4,3.2232
4,-4,3.2344
5,-3,0
6,-4,3.2454
7,-4,3.2588
8,-3,0
9,-4,3.2672
10,-3,0
11,-3,0
12,-3,0
13,-3,0
14,-3,0
15,-3,0
16,-2,0
17,-4,3.2762
18,-4,3.2886
19,-4,3.302
20,-4,3.3122
21,-4,3.3242
22,-3,0
23,-4,3.3326
24,-4,3.3426
25,-4,3.3538
26,-2,0
27,-3,0
28,-4,3.3666
29,-3,0
30,-3,0
31,-3,0
32,-3,0
33,-3,0
34,-2,0
35,-2,0
36,-3,0
37,-2,0
38,-1,0
39,-3,0
40,-2,0
41,-3,0
42,-3,0
43,-2,0
44,-2,0
45,-1,0
46,-2,0
47,-1,0
48,-3,0
49,-2,0
50,-2,0
51,-2,0
52,-2,0
53,-3,0
54,-2,0
55,-2,0
56,-2,0
57,-2,0
58,-2,0
59,-3,0
60,-3,0
61,-3,0
62,-3,0
63,-3,0
64,-4,3.3752
65,-4,3.386
66,-5,4.362790322580644
67,-4,3.230681818181817
68,-4,3.4243
69,-5,4.413988596491229
70,-5,4.2533
71,-5,4.2668
72,-5,4.28355
73,-6,5.247407142857144
74,-7,6.118478431372549
75,-7,5.945500000000001
76,-8,6.927350000000001
77,-8,6.794300000000001
78,-9,7.800868181818182
79,-9,7.64335
80,-11,9.595460317460319
81,-13,90
82,-13,90
83,-13,90
84,-13,90
85,-14,90
86,-13,90
87,-13,90
88,-13,90
89,-12,90
90,-10,8.254597560975606
91,-8,6.583116949152544
92,-9,7.941128431372548
93,-9,7.768
94,-9,7.79905
95,-11,9.78127719298246
96,-14,90
97,-14,90
98,-13,90
99,-11,90
100,-11,90
101,-10,90
102,-9,90
103,-8,90
104,-8,6.462564705882356
105,-7,6.101958474576272
106,-6,5.290671568627449
107,-4,3.547272807017546
108,-5,4.882391525423728
109,-5,4.725899999999999
110,-7,6.685533050847457
111,-7,6.36755
112,-8,90
113,-8,90
114,-9,90
115,-9,90
116,-8,7.422445238095239
117,-5,4.220426923076928
118,-2,0
119,-2,0
120,-2,0
121,-3,0
122,-3,0
123,-4,3.718635714285708
124,-4,4.01515
125,-5,4.985246153846154
126,-5,4.84665
127,-4,3.897759677419353
128,-4,4.07225
129,-5,5.034427536231884
130,-5,4.903
131,-6,5.898371428571429
132,-6,5.741400000000001
133,-5,4.786658474576272
134,-6,5.943341525423729
135,-6,5.79365
136,-7,6.804157692307694
137,-7,6.638800000000001
138,-7,6.65805
139,-7,6.685700000000001
140,-7,6.70425
141,-7,6.728050000000001
142,-7,6.7487
143,-7,6.76445
144,-7,6.788600000000001
145,-6,5.807821568627448
146,-5,5.045986206896554
147,-5,5.23565
148,-5,5.24865
149,-5,5.267899999999999
150,-4,4.28982075471698
151,-4,4.4899
152,-4,4.5003
153,-4,4.5119
154,-4,4.523899999999999
155,-4,4.5359
156,-3,0
157,-4,4.5453
158,-3,0
159,-2,0
160,-3,0
161,-3,0
162,-3,0
163,-4,4.5553
164,-4,4.5667
165,-5,5.572007692307693
166,-4,4.397792307692312
167,-4,4.6011
168,-5,5.580284426229507
169,-4,4.464615573770492
170,-4,4.64115
171,-3,0
172,-4,4.65135
173,-3,0
174,-2,0
175,-2,0
176,-2,0
177,0,0
178,1,0
179,1,0
180,1,0
181,0,0
182,1,0
183,0,0
184,-1,0
185,-2,0
186,-3,0
187,-5,5.684822222222222
188,-5,5.47985
189,-4,4.519036206896551
190,-5,5.684021428571425
191,-4,4.578804929577464
192,-6,6.699786363636365
193,-5,5.42552987012987
194,-5,5.570399999999999
195,-5,5.5859
196,-5,5.603649999999999
197,-5,5.61865
198,-5,5.63615
199,-4,4.668778571428568
200,-4,4.85755
201,-3,0
202,-2,0
203,-3,0
204,0,0
205,1,0
206,3,0
207,5,-4.353700000000003
208,6,-90
209,7,-90
210,9,-90
211,9,-90
212,8,-90
213,8,-90
214,8,-90
215,8,-90
216,7,-90
217,7,-90
218,6,-90
219,4,-1.311699999999995
220,2,0
221,-1,0
222,-1,0
223,-1,0
224,-1,0
225,0,0
226,1,0
227,1,0
228,1,0
229,1,0
230,1,0
231,3,0
232,3,0
233,4,-1.5701
234,6,-90
235,7,-90
236,9,-90
237,8,-90
238,8,-90
239,9,-90
240,7,-90
241,6,-90
242,6,-90
243,5,-2.613408139534888
244,2,0
245,1,0
246,0,0
247,0,0
248,2,0
249,3,0
250,6,-3.431545238095239
251,6,-90
252,7,-90
253,8,-90
254,8,-90
255,7,-90
256,7,-90
257,6,-3.20605
258,4,-1.272822413793103
259,2,0
260,2,0
261,2,0
262,3,0
263,2,0
264,4,-1.62665
265,4,-1.63785
266,5,-2.630421428571426
267,5,-2.464599999999999
268,5,-2.47935
269,6,-3.459240322580647
270,6,-3.31505
271,7,-4.284127536231883
272,7,-4.1609
273,7,-4.185750000000001
274,8,-5.198857692307693
275,6,-3.150372222222226
276,6,-3.445250000000001
277,7,-90
278,7,-90
279,7,-90
280,7,-90
281,4,-1.52391666666667
282,-1,0
283,-3,0
284,-3,0
285,-3,0
286,-2,0
287,-2,0
288,-1,0
289,-1,0
290,-1,0
291,-1,0
292,-1,0
293,-2,0
294,-1,0
295,-2,0
296,-3,0
297,-2,0
298,-2,0
299,-3,0
300,-3,0
301,-3,0
302,-3,0
303,-4,6.254277659574447
304,-3,0
305,-3,0
306,-3,0
307,-2,0
308,-1,0
309,-1,0
310,0,0
311,1,0
312,3,0
313,3,0
314,5,-4.659100000000003
315,5,-90
316,8,-90
317,8,-90
318,8,-90
319,8,-90
320,6,-90
321,6,-3.721100000000006
322,5,-2.516358474576263
323,5,-2.7001
324,7,-90
325,8,-90
326,9,-90
327,9,-90
328,10,-90
329,10,-90
330,9,-90
331,9,-90
332,9,-90
333,9,-90
334,9,-90
335,9,-90
336,9,-90
337,10,-90
338,10,-90
339,9,-90
340,9,-90
341,8,-90
342,8,-90
343,7,-4.802254878048777
344,4,-1.324450000000009
345,3,0
346,3,0
347,3,0
348,2,0
349,2,0
350,2,0
351,2,0
352,1,0
353,1,0
354,0,0
355,0,0
356,0,0
357,0,0
358,0,0
359,0,0
360,-1,0
361,0,0
362,-1,0
363,-1,0
364,-1,0
365,-1,0
366,-1,90
