Step,Disturbance,Output
1,-1,0
2,-1,0
3,-1,0
4,-2,0
5,-1,0
6,-1,0
7,-2,0
8,-2,0
9,-2,0
10,-2,0
11,-2,0
12,-2,0
13,-1,0
14,-2,0
15,-2,0
16,-1,0
17,-1,0
18,-1,0
19,-1,0
20,-1,0
21,-1,0
22,-2,0
23,1,0
24,3,0
25,0,0
26,-2,0
27,-2,0
28,-3,0
29,-3,0
30,-3,0
31,-3,0
32,-2,0
33,-2,0
34,-1,0
35,-1,0
36,-1,0
37,-1,0
38,-2,0
39,-1,0
40,-1,0
41,-2,0
42,-2,0
43,-1,0
44,-1,0
45,-2,0
46,-2,0
47,-2,0
48,-2,0
49,-3,0
50,-3,0
51,-4,3.8378
52,-4,3.2248
53,-5,4.217371428571429
54,-5,4.0538
55,-5,4.06755
56,-6,5.021928947368423
57,-6,4.907150000000001
58,-7,5.885800000000001
59,-7,5.748450000000001
60,-8,6.739116666666668
61,-8,6.597250000000001
62,-10,8.588386363636365
63,-11,9.214346153846154
64,-12,10.07808518518519
65,-13,90
66,-14,90
67,-14,90
68,-16,90
69,-16,90
70,-16,90
71,-15,90
72,-16,90
73,-14,90
74,-12,9.924700000000001
75,-9,7.060346721311475
76,-8,6.606258474576272
77,-8,6.81095
78,-9,7.800140322580644
79,-13,11.45577857142857
80,-12,9.931564814814815
81,-13,11.13431818181818
82,-16,90
83,-16,90
84,-12,90
85,-12,90
86,-9,7.063414285714287
87,-9,7.8047
88,-8,6.858808474576272
89,-9,8.017490322580645
90,-9,7.8832
91,-11,90
92,-11,90
93,-12,90
94,-11,90
95,-9,7.9066
96,-5,4.031444827586204
97,-2,0
98,-2,0
99,-2,0
100,-3,0
101,-4,3.746714814814815
102,-4,3.9441
103,-5,4.931013793103448
104,-5,4.7736
105,-5,4.78935
106,-5,4.8031
107,-7,6.713314285714288
108,-6,5.446821568627453
109,-6,5.664800000000001
110,-7,6.657513793103448
111,-7,6.5068
112,-8,7.497466666666665
113,-8,7.3512
114,-8,7.378
115,-7,6.419028571428568
116,-7,6.61965
117,-8,7.615263793103448
118,-7,6.522072463768116
119,-8,7.667971428571429
120,-6,5.620244927536231
121,-7,6.908271428571429
122,-8,7.705753731343283
123,-6,5.646931147540983
124,-7,6.97018859649123
125,-6,5.825764814814816
126,-5,5.046378571428571
127,-4,4.31595
128,-5,5.436518181818182
129,-3,0
130,-3,0
131,-2,0
132,-2,0
